title,author,abstract,filename
"О стабилизации pешения задачи Коши\\ для абстpактного диффеpенциального


уpавнения\\ пеpвого поpядка","\it А.В.\,Глушак",Не найдено,01-11-2001.tex
"Вклад Бояи, Гаусса и Лобачевского\\ в открытие неевклидовой


геометрии\\ ({\it к 200-летию со дня рождения Яноша Бояи","\it B.В.\,Вишневский",Не найдено,01-11-2002.tex
"Многообразия с вырожденным гауссовым отображением с кратными


фокусами\\ и скрученные конусы","\it М.А.\,Акивис, В.В.\,Гольдберг",Не найдено,01-11-2003.tex
"Подобно однородные локально полные пространства\\ с внутренней


метрикой","\it В.Н.\,Берестовский",Не найдено,01-11-2004.tex
"Реализация дискретных вероятностных


процессов конечными линейными и вероятностными автоматами","\it Н.З.\,Габбасов, Б.C.\,Кочкарев",Не найдено,01-11-2005.tex
"Реализация дискретных вероятностных


процессов конечными линейными и вероятностными автоматами","\it Н.З.\,Габбасов, Б.C.\,Кочкарев",Не найдено,01-11.TEX
"Вычисление неподвижных точек\\


симметричных экстремальных отображений","\it А.С.\,Антипин",Не найдено,01-12-1997.tex
"Стабилизация линейной дискретной системы\\ 


управления с интервальными коэффициентами","\it Л.Т.\,Ащепков, Ю.Б.\,Стегостенко",Не найдено,01-12-1998.tex
"Оптимизация прямых и проекционных\\


методов решения операторных уравнений","\it Б.Г.\,Габдулхаев",Не найдено,01-12-1999.tex
"Итерационный метод решения линейных 


задач оптимального управления с терминальными ограничениями","\it Е.В.\,Аксенюшкина",Не найдено,01-12-2000.tex
"Нелокальное улучшение управлений в динамических 


системах, квадратичных по состоянию","\it А.С.\,Булдаев",Не найдено,01-12-2001.tex
"Управление процессом минимизации \\


в параметризованном методе центров","\it А.А.\,Андрианова, Я.И.\,Заботин",Не найдено,01-12-2002.tex
"Оптимизация динамических систем в


классе дискретных управлений конечной степени","\it Р.\,Габасов, Ф.М.\,Кириллова, Н.С.\,Павленок",Не найдено,01-12-2003.tex
"Программное и позиционное решения терминальной


линейно выпуклой задачи оптимального управления","\it Р.\,Габасов, Ф.М.\,Кириллова, Т.Г.\,Хомицкая",Не найдено,01-12-2004.tex
"Программное и позиционное решения терминальной


линейно выпуклой задачи оптимального управления","\it Р.\,Габасов, Ф.М.\,Кириллова, Т.Г.\,Хомицкая",Не найдено,01-12.TEX
О локальной структуре конструкции Безиковича,"\it Г.В.\,Арутюнянц",Не найдено,01-2-1998.tex
"О сингулярных краевых задачах для\\


линейного функционально-дифференциального\\


уравнения второго порядка","\it Н.В.\,Азбелев, М.Ж.\,Алвеш, Е.И.\,Бравый",Не найдено,01-2-1999.tex
"Оптимизация полулинейных гиперболических систем\\


с гладкими граничными управлениями","\it А.В.\,Аргучинцев, О.А.\,Крутикова",Не найдено,01-2-2001.tex
"Вариационная задача об оптимальной форме тела


с минимальным радиационным нагревом поверхности","\it М.А.\,Аргучинцева",Не найдено,01-2-2002.tex
"Операторы сферической свертки \\


со степенно-логарифмическим ядром \\


в обобщенных пространствах Г\""ельдера","\it Б.Г.\,Вакулов, Н.К.\,Карапетянц, Л.Д.\,Шанкишвили",Не найдено,01-2-2003.tex
"К вопросу об устойчивости периодического дифференциального


уравнения с запаздываниями","\it В.Г.\,Абдрахманов, Ю.Н.\,Смолин",Не найдено,01-2-2004.tex
Об устойчивости решений\\ нелинейных разностных систем,"\it А.Ю.\,Александров, А.П.\,Жабко",Не найдено,01-2-2005.tex
Об устойчивости решений\\ нелинейных разностных систем,"\it А.Ю.\,Александров, А.П.\,Жабко",Не найдено,01-2.TEX
"Интерполирующие базисы\\


в пространствах функций $C^0_\omega(K)$ и $H^0_\omega(K)$","\it А.Б.\,Бычков",Не найдено,01-3-1998.tex
"Возмущение однозначного оператора\\ многозначным отображением


типа Гаммерштейна\\ с невыпуклыми образами","\it А.И.\,Булгаков, Л.И.\,Ткач ",Не найдено,01-3-1999.tex
О структурных константах алгебры октав.\\ Уравнение Клиффорда,"\it К.В.\,Андреев",Не найдено,01-3-2001.tex
"Дифференциальная точка поворота\\


в теории сингулярных возмущений. I","\it В.Н.\,Бобочко",Не найдено,01-3-2002.tex
"Об одном прямом методе решения двумерного слабосингулярного 


интегрального уравнения\\ первого рода","\it Р.Т.\,Валеева, И.К.\,Рахимов",Не найдено,01-3-2003.tex
Слабо регулярные модули,"\it А.Н.\,Абызов",Не найдено,01-3-2004.tex
"Об индексе многомерных интегральных операторов\\


с биоднородными ядрами и переменными коэффициентами","\it О.Г.\,Авсянкин, В.М.\,Деундяк",Не найдено,01-3-2005.tex
"Об индексе многомерных интегральных операторов\\


с биоднородными ядрами и переменными коэффициентами","\it О.Г.\,Авсянкин, В.М.\,Деундяк",Не найдено,01-3.TEX
"ПОЛУДИСКРЕТНЫЙ МЕТОД РЕШЕНИЯ УРАВНЕНИЙ\\


ОДНОМЕРНОГО ДВИЖЕНИЯ НЕОДНОРОДНОГО ВЯЗКОГО\\


ТЕПЛОПРОВОДНОГО ГАЗА С НЕГЛАДКИМИ ДАННЫМИ","\it А.А. АМОСОВ, А.А. ЗЛОТНИК",Не найдено,01-4-1997.tex
"$H$-проективные отображения\\


четырехмерных келеровых многообразий","\it А.В.\,Аминова, Д.А.\,Калинин",Не найдено,01-4-1998.tex
"Радиальные преобразования множеств \\


и неравенства для трансфинитного диаметра","\it Е.Г.\,Ахмедзянова, В.Н.\,Дубинин",Не найдено,01-4-1999.tex
Устойчивость уравнений\\ с запаздывающим аргументом. II,"\it Н.В.\,Азбелев, П.М.\,Симонов",Не найдено,01-4-2000.tex
"Об одном алгоритме решения уравнения


Фредгольма--Стильтьеса","\it В.В.\,Васин, Т.И.\,Сер\""ежникова",Не найдено,01-4-2001.tex
"Локальное строение поверхности внутреннего\\ 


конформного радиуса для плоской области","\it Л.А.\,Аксентьев",Не найдено,01-4-2002.tex
Операторы Грина с минимальной нормой,"\it А.Р.\,Абдуллаев, Н.А.\,Брагина",Не найдено,01-4-2003.tex
"Выпуклость поверхности конформного радиуса\\ 


и оценки коэффициентов отображающей функции","\it Л.А.\,Аксентьев",Не найдено,01-4-2004.tex
"Об изоморфизме пространств ультрадифференцируемых функций типа


Берлинга","\it А.В.\,Абанин",Не найдено,01-4-2005.tex
"Об изоморфизме пространств ультрадифференцируемых функций типа


Берлинга","\it А.В.\,Абанин",Не найдено,01-4.TEX
"О ПОЛОЖИТЕЛЬНОМ РАДИАЛЬНО-СИММЕТРИЧЕСКОМ РЕШЕНИИ\\ 


ЗАДАЧИ ДИРИХЛЕ ДЛЯ ОДНОГО НЕЛИНЕЙНОГО УРАВНЕНИЯ \\ 


И ЧИСЛЕННОМ МЕТОДЕ ЕГО ПОЛУЧЕНИЯ","\it Э.И.\,АБДУРАГИМОВ",Не найдено,01-5-1997.tex
"О связи между комплексной сплайн-аппроксимацией\\


и непрерывной дифференцируемостью функций\\ на кривой","\it М.Б.\,Вакарчук",Не найдено,01-5-1998.tex
"Об одном классе разностных методов решения\\


уравнений Навье--Стокса","\it В.Н.\,Абрашин, В.М.\,Волков, А.А.\,Егоров, Н.Г.\,Жадаева",Не найдено,01-5-1999.tex
"Об алгебраических свойствах множеств,\\ 


не содержащих прямых","\it Е.Г.\,Белоусов, В.Г.\,Андронов",Не найдено,01-5-2000.tex
"Методы решения линейного интегрального  


уравнения\\ с ядром, имеющим неподвижные особенности","\it Н.С.\,Габбасов",Не найдено,01-5-2001.tex
"Дифференциальная точка поворота


в теории сингулярных возмущений. II","\it В.Н.\,Бобочко",Не найдено,01-5-2002.tex
"Сравнение двух регуляризующих алгоритмов решения 


одной коэффициентной обратной задачи","\it П.Г.\,Данилаев",Не найдено,01-5-2003.tex
"Полярные гиперповерхности \\ 


проективно-метрического пространства","\it Д.А.\,Абруков",Не найдено,01-5-2004.tex
"Геометрия подмногообразий\\ со структурой двойного расслоения\\ в


псевдоевклидовом пространстве Рашевского","\it С.Х.\,Арутюнян",Не найдено,01-5-2005.tex
"Геометрия подмногообразий\\ со структурой двойного расслоения\\ в


псевдоевклидовом пространстве Рашевского","\it С.Х.\,Арутюнян",Не найдено,01-5.TEX
УСТОЙЧИВОСТЬ УРАВНЕНИЙ С ЗАПАЗДЫВАЮЩИМ АРГУМЕНТОМ,"\it Н.В.\,АЗБЕЛЕВ, П.М.\,СИМОНОВ",Не найдено,01-6-1997.tex
"О внутренних геометриях многообразия плоских\\


образующих 6-мерной квадрики","\it К.В.\,Андреев",Не найдено,01-6-1998.tex
"Многолистные функции\\ 


из расширенных классов Беккера и Нехари\\ 


и их гидромеханическое истолкование","\it Л.А.\,Аксентьев",Не найдено,01-6-1999.tex
"Приближение функций нескольких переменных\\ 


с весом Чебышева--Эрмита","\it Д.В.\,Алексеев",Не найдено,01-6-2000.tex
"Об устойчивости решения задачи Коши для периодического


функционально-дифференциального уравнения с распределенным


запаздыванием","\it В.Г.\,Абдрахманов, Е.Ф.\,Сапрыкин, Ю.Н.\,Смолин",Не найдено,01-6-2001.tex
"О единственности положительного решения одной нелинейной


двухточечной краевой задачи","\it Э.И.\,Абдурагимов",Не найдено,01-6-2002.tex
Минимальные $k$-расширения предполных графов,"\it М.Б.\,Абросимов",Не найдено,01-6-2003.tex
"О существовании положительного решения\\ краевой задачи для одного  


нелинейного функционально-дифференциального уравнения\\ второго  


порядка","\it Г.Э.\,Абдурагимов",Не найдено,01-6-2004.tex
"Многолистные функции из расширенных классов Нехари


в секторах, содержащих полуплоскость","\it Л.А.\,Аксентьев, Е.А.\,Ионова, Д.Е.\,Ромадин",Не найдено,01-6-2005.tex
"Многолистные функции из расширенных классов Нехари


в секторах, содержащих полуплоскость","\it Л.А.\,Аксентьев, Е.А.\,Ионова, Д.Е.\,Ромадин",Не найдено,01-6.TEX
"Оценки смешанных норм сумм двойных \\


тригонометрических рядов\\


с кратно монотонными коэффициентами","\it Т.М.\,Вуколова, М.И.\,Дьяченко",Не найдено,01-7-1997.tex
"Асимптотические свойства решений обыкновенных\\ 


дифференциальных уравнений с большим параметром","\it А.А.\,Воронин",Не найдено,01-7-1998.tex
"О некоторых свойствах\\


попеременно-треугольного векторного метода\\


для уравнения теплопроводности","\it С.Б.\,Зайцева, А.А.\,Злотник",Не найдено,01-7-1999.tex
"Изопериметрические экстремали поворота на двумерных 


связных группах Ли с инвариантными римановыми метриками","\it А.В.\,Винник, С.Г.\,Лейко",Не найдено,01-7-2000.tex
О полиномах наилучшего приближения\\ в метрике типа $L_p$,"\it П.В.\,Борисов",Не найдено,01-7-2001.tex
"Аналог теоремы Пикара для уравнения \\


1-го рода в свертках с гладким ядром","\it А.Ф.\,Воронин",Не найдено,01-7-2002.tex
О группах с относительно большими централизаторами,"\it В.А.\,Антонов, Н.Н.\,Аминева",Не найдено,01-7-2003.tex
"Новые изопериметрические неравенства\\


для моментов областей и жесткости кручения","\it Ф.Г.\,Авхадиев",Не найдено,01-7-2004.tex
"Решение одного класса


интегродифференциальных уравнений


методом механических квадратур","\it Ю.Р.\,Агачев, А.И.\,Леонов",Не найдено,01-7-2005.tex
"Решение одного класса


интегродифференциальных уравнений


методом механических квадратур","\it Ю.Р.\,Агачев, А.И.\,Леонов",Не найдено,01-7.TEX
"О теоремах единственности для внешней обратной\\


краевой задачи в подклассах однолистных функций","\it Л.А.\,Аксентьев, А.В.\,Казанцев, Н.И.\,Попов",Не найдено,01-8-1998.tex
"Итерированные задачи Коши и Дирихле\\ 


с оператором Бесселя в банаховом пространстве","\it А.В.\,Глушак",Не найдено,01-8-1999.tex
"О представлении четных чисел суммой двух нечетных простых


чисел из арифметической прогрессии","\it И.А.\,Аллаков",Не найдено,01-8-2000.tex
Приближение функций суммами Фурье--Бесселя,"\it В.А.\,Абилов, Ф.В.\,Абилова",Не найдено,01-8-2001.tex
"О применении проекционного метода к парным\\ интегральным операторам


с однородными ядрами","\it О.Г.\,Авсянкин",Не найдено,01-8-2002.tex
"О построении теории степени вполне непрерывных и  


фредгольмовых сечений банаховых векторных  


расслоений","\it Ю.Г.\,Борисович, А.А.\,Демченко",Не найдено,01-8-2003.tex
"Об оптимизации прямых  


методов решения обыкновенных  


интегродифференциальных уравнений","\it Ю.Р.\,Агачев",Не найдено,01-8-2004.tex
Дополнение к признаку Жамэ,"\it А.В.\,Антонова",Не найдено,01-8-2005.tex
Дополнение к признаку Жамэ,"\it А.В.\,Антонова",Не найдено,01-8.TEX
"Бесконечно малые изгибания торообразной\\


поверхности вращения с многоугольным меридианом","\it Л.С.\,Велимирович",Не найдено,01-9-1997.tex
"Нестабильные и кратные элементы спектра\\ 


в системе сингулярно возмущенных\\ 


дифференциальных уравнений","\it В.Н.\,Бобочко",Не найдено,01-9-1998.tex
Псевдолиувиллевы поверхности,"\it О.С.\,Германов",Не найдено,01-9-1999.tex
Меры некомпактности в исследовании неравенств,"\it Н.А.\,Ерзакова",Не найдено,01-9-2000.tex
"Условные оценки устойчивости в несимметричной проблеме


собственных значений","\it А.Л.\,Агеев",Не найдено,01-9-2001.tex
Методы фрактальной интерполяции типа Барнсли,"\it С.Н.\,Васильев",Не найдено,01-9-2002.tex
"Замкнутость слабо регулярных модулей\\  


относительно прямых сумм","\it А.Н.\,Абызов",Не найдено,01-9-2003.tex
"Полнота фундаментального объекта  


поверхности,\\ не принадлежащей абсолюту\\


проективно-метрического пространства","\it Д.А.\,Абруков",Не найдено,01-9-2004.tex
"Многомерные слабосингулярные интегральные уравнения 


первого рода с частными операторами","\it И.Ф.\,Асадуллина",Не найдено,01-9-2005.tex
"Многомерные слабосингулярные интегральные уравнения 


первого рода с частными операторами","\it И.Ф.\,Асадуллина",Не найдено,01-9.TEX
"Об одной задаче классификации множества управлений для 


параболического уравнения","\it Е.В.\,Васильева",Не найдено,02-01-2000.tex
Численное тестирование метода декомпозиции\\ для $p$-версии МКЭ,"\it И.Е.\,Ануфриев, В.Г.\,Корнеев",Не найдено,02-01-2005.tex
Численное тестирование метода декомпозиции\\ для $p$-версии МКЭ,"\it И.Е.\,Ануфриев, В.Г.\,Корнеев",Не найдено,02-01.TEX
"Об аппроксимации полугрупп изометрий\\


в гильбертовом пространстве","\it Г.Г.\,Амосов",Не найдено,02-02-2000.tex
"Об аппроксимации полугрупп изометрий\\


в гильбертовом пространстве","\it Г.Г.\,Амосов",Не найдено,02-02.TEX
"Об абсолютной сходимости рядов Фурье\\


по обобщенной системе Хаара","\it Г.А.\,Акишев, С.Т.\,Махашев ",Не найдено,02-03-2000.tex
"Об абсолютной сходимости рядов Фурье\\


по обобщенной системе Хаара","\it Г.А.\,Акишев, С.Т.\,Махашев ",Не найдено,02-03.TEX
Об устойчивости неконсервативных систем,"\it Л.А.\,Бурлакова",Не найдено,02-1-1998.tex
"Аналитическое решение системы дифференциальных уравнений, 


описывающих осесимметричную деформацию ортотропного пологого 


сферического сегмента",\it Н.Г.Гурьянов,Не найдено,02-1-1999.tex
О спинорном формализме при $n=6$,"\it К.В.\,Андреев",Не найдено,02-1-2001.tex
"Две теоремы о косимплектических гиперповерхностях


6-мерных эрмитовых подмногообразий алгебры Кэли","\it М.Б.\,Банару",Не найдено,02-1-2002.tex
"О выборе почти оптимальных параметров \\


в алгоритмах типа Эрроу--Гурвица","\it Г.П.\,Астраханцев",Не найдено,02-1-2003.tex
"Оптимизация гиперболических систем с интегральными


ограничениями на граничные управления","\it А.В.\,Аргучинцев",Не найдено,02-1-2004.tex
"Оптимизация гиперболических систем с интегральными


ограничениями на граничные управления","\it А.В.\,Аргучинцев",Не найдено,02-1.TEX
"Одна задача Коши с начальными данными\\


на разных поверхностях для системы с особенностью","\it С.П.\,Баутин, А.Л.\,Казаков",Не найдено,02-10-1997.tex
"Задача фильтрации через пористую преграду


на проницаемом основании


со слоем соленой воды","\it А.В.\,Лапин, Е.Г.\,Шешуков ",Не найдено,02-10-1999.tex
"К вопросу об устойчивости\\


по неавтономному первому приближению","\it А.Ю.\,Александров",Не найдено,02-10-2000.tex
"Бэровский класс показателей Ляпунова механических  


систем, содержащих параметры","\it И.А.\,Галиуллин",Не найдено,02-10-2001.tex
Операторы суперпозиции в пространствах Соболева,"\it C.K.\,Bодопьянов, А.Д.\,Ухлов",Не найдено,02-10-2002.tex
"Метод интегрирования уравнений изгиба  


многослойной конструкции","\it Ю.И.\,Бутенко",Не найдено,02-10-2003.tex
"Изометрические погружения областей пространства


Лобачевского в сферы и евклидовы пространства


и геометрическая интерпретация спектрального параметра","\it Ю.A.\,Аминов, Я.\,Чешлинский",Не найдено,02-10-2004.tex
"Проблема обращения особого 


интеграла\\ на круговом секторе","\it Ф.Н.\,Гарифьянов, Б.\,Туре",Не найдено,02-10-2005.tex
"Проблема обращения особого 


интеграла\\ на круговом секторе","\it Ф.Н.\,Гарифьянов, Б.\,Туре",Не найдено,02-10.TEX
"О конечных группах, у которых главные факторы\\


являются простыми группами","\it А.Ф.\,Васильев, Т.И.\,Васильева",Не найдено,02-11-1997.tex
"Исследование сходимости итерационных методов\\


решения нелинейных задач теории фильтрации","\it И.Б.\,Бадриев, А.Д.\,Ляшко, О.В.\,Панкратова ",Не найдено,02-11-1998.tex
"Группа симметрии и законы сохранения в задаче оптимального 


управления ламинарным пограничным слоем неравновесно 


диссоциирующего газа","\it Н.Г.\,Бильченко, К.Г.\,Гараев, В.А.\,Овчинников ",Не найдено,02-11-1999.tex
"Теорема о единственности решения одной задачи теории


совместного движения\\ русловых и подземных вод","\it Л.Л.\,Глазырина, М.Ф.\,Павлова",Не найдено,02-11-2000.tex
"Метод Римана задачи Гурса для одного класса \\ 


дифференциальных уравнений третьего порядка","\fbox{\it В.Н.\,Захаров",Не найдено,02-11-2001.tex
Спиноры на римановых многообразиях,"\it Р.Ф.\,Билялов",Не найдено,02-11-2002.tex
"О кривизне $CR$-подмногообразий комплексного проективного


пространства, имеющих максимальную $CR$-размерность","\it Мирьяна Джорич\,${",Не найдено,02-11-2003.tex
Геодезические деформации гиперповерхностей римановых пространств,"\it М.Л.\,Гаврильченко, В.А.\,Киосак, Й.\,Микеш",Не найдено,02-11-2004.tex
Полисингулярные интегральные уравнения\\ с положительными операторами,"\it Б.Г.\,Габдулхаев",Не найдено,02-11-2005.tex
Полисингулярные интегральные уравнения\\ с положительными операторами,"\it Б.Г.\,Габдулхаев",Не найдено,02-11.TEX
"Модифицированный метод симплексных погружений\\


с одновременным введением нескольких секущих плоскостей","\it Е.В.\,Апекина, О.В.\,Хамисов",Не найдено,02-12-1997.tex
"Некоторые виды устойчивости комбинаторной\\ 


задачи лексикографической оптимизации","\it Р.А.\,Бердышева, В.А.\,Емеличев",Не найдено,02-12-1998.tex
"Аксиальные трехиндексные задачи о назначении\\ и коммивояжера:


быстрые приближенные алгоритмы\\ и их вероятностный анализ ","\it Э.Х.\,Гимади, А.И.\,Сердюков",Не найдено,02-12-1999.tex
"К поиску равновесных управлений\\ в дифференциальной игре 


$\size{14","\it О.О.\,Васильева, О.В.\,Васильев",Не найдено,02-12-2000.tex
К проблеме синтеза оптимальных систем,"\it Р.\,Габасов, Ф.М.\,Кириллова",Не найдено,02-12-2001.tex
"Линейные функции Ляпунова--Кротова и достаточные условия


оптимальности в форме принципа максимума","\it Н.В.\,Антипина, В.А.\,Дыхта",Не найдено,02-12-2002.tex
"Оптимизация прямых методов решения


одного класса интегродифференциальных уравнений","\it Б.Г.\,Габдулхаев, Л.Б.\,Ермолаева",Не найдено,02-12-2003.tex
"Об одном типе устойчивости векторной\\ комбинаторной


задачи с частными критериями\\ вида $\Sigma$-MINMAX и


$\Sigma$-MINMIN","\it В.A.\,Емеличев, К.Г.\,Кузьмин, А.М.\,Леонович",Не найдено,02-12-2004.tex
"Об одном типе устойчивости векторной\\ комбинаторной


задачи с частными критериями\\ вида $\Sigma$-MINMAX и


$\Sigma$-MINMIN","\it В.A.\,Емеличев, К.Г.\,Кузьмин, А.М.\,Леонович",Не найдено,02-12.TEX
Итерационные методы решения уравнений в свертках,"\it И.В.\,Бойков",Не найдено,02-2-1998.tex
"О разрешимости двухточечной краевой задачи\\


для сингулярного нелинейного \\


функционально-дифференциального уравнения","\it М.Ж.\,Алвеш",Не найдено,02-2-1999.tex
Полиадические аналоги теорем Кэли и Биркгофа,"\it А.М.\,Гальмак",Не найдено,02-2-2001.tex
"Стабилизация наблюдаемой линейной системы управления


с постоянными интервальными коэффициентами","\it Л.Т.\,Ащепков, Д.В.\,Давыдов",Не найдено,02-2-2002.tex
"Явное решение сингулярного интегрального


уравнения с дзета-функцией Вейерштрасса в качестве ядра","\it Т.И.\,Гатальская, Э.И.\,Зверович",Не найдено,02-2-2003.tex
"Модель белого шума\\


со значениями в гильбертовом пространстве","\it М.А.\,Альшанский",Не найдено,02-2-2004.tex
"Об одном свойстве решения задачи\\ 


почти периодической оптимизации","\it А.Г.\,Иванов",Не найдено,02-2-2005.tex
"Об одном свойстве решения задачи\\ 


почти периодической оптимизации","\it А.Г.\,Иванов",Не найдено,02-2.TEX
"Один случай решения задачи Гесса\\


в тригонометрических функциях","\it И.С.\,Емельянова",Не найдено,02-3-1998.tex
"Задача о колебании конечной струны\\ 


с нелинейным возмущением","\it А.И.\,Вагабов",Не найдено,02-3-1999.tex
"Препятствие к интегрируемости инфинитезимальной


деформации $k$-дуальной структуры","\it А.В.\,Бояршинова",Не найдено,02-3-2001.tex
"О граничных значениях интеграла типа Коши\\ на негладкой


кривой","\it Б.А.\,Кац, А.Ю.\,Погодина",Не найдено,02-3-2002.tex
"Задача $\Delta_2$ для уравнения Эйлера--Пуассона--Дарбу  \\


в классе неограниченных функций","\it Г.Н.\,3aйнуллина",Не найдено,02-3-2003.tex
Приближение функций на сетке,"\it А.Л.\,Григорян",Не найдено,02-3-2004.tex
"О порядках приближения функциональных классов


полиномами по обобщенной системе Хаара","\it Г.А.\,Акишев",Не найдено,02-3-2005.tex
"О порядках приближения функциональных классов


полиномами по обобщенной системе Хаара","\it Г.А.\,Акишев",Не найдено,02-3.TEX
"О РАЗРЕШИМОСТИ ОДНОГО НЕЛИНЕЙНОГО ЭВОЛЮЦИОННОГО\\


НЕРАВЕНСТВА ТЕОРИИ СОВМЕСТНОГО ДВИЖЕНИЯ\\


ПОВЕРХНОСТНЫХ И ПОДЗЕМНЫХ ВОД ","\it Л.Л. ГЛАЗЫРИНА, М.Ф. ПАВЛОВА",Не найдено,02-4-1997.tex
"Обобщенная теорема Лоренца о рядах Фурье\\


с монотонными коэффициентами и ее обращение","\it В.Э.\,Гейт",Не найдено,02-4-1998.tex
Теорема Клиффорда для квазирациональных функций,"\it И.А.\,Бикчантаев",Не найдено,02-4-1999.tex
"Об оценках решений дифференциально-разностных уравнений  


нейтрального типа","\it В.В.\,Власов",Не найдено,02-4-2000.tex
"Биортогональные ряды, порожденные группой диэдра","\it Ф.Н.\,Гарифьянов ",Не найдено,02-4-2001.tex
"Корректная разрешимость дифференциальных уравнений с последействием\\


в шкале пространств Соболева","\it В.В.\,Власов, В.Ж.\,Сакбаев",Не найдено,02-4-2003.tex
